target,longitud_text,cantidad_palabras,keyword_mean,location_mean,numerales
1,69,13,0.688524590164,0.424397947098,1
1,38,7,0.688524590164,0.424397947098,0
1,133,22,0.688524590164,0.424397947098,0
1,65,8,0.688524590164,0.424397947098,1
1,88,16,0.688524590164,0.424397947098,2
1,110,18,0.688524590164,0.424397947098,3
1,95,14,0.688524590164,0.424397947098,2
1,59,15,0.688524590164,0.424397947098,0
1,79,12,0.688524590164,0.424397947098,0
1,52,10,0.688524590164,0.424397947098,0
1,43,9,0.688524590164,0.424397947098,0
1,129,27,0.688524590164,0.424397947098,1
1,76,12,0.688524590164,0.424397947098,5
1,39,7,0.688524590164,0.424397947098,2
1,56,11,0.688524590164,0.424397947098,1
0,14,3,0.688524590164,0.424397947098,0
0,13,3,0.688524590164,0.424397947098,0
0,16,3,0.688524590164,0.424397947098,0
0,17,5,0.688524590164,0.424397947098,0
0,28,3,0.688524590164,0.424397947098,0
0,22,3,0.688524590164,0.424397947098,0
0,17,4,0.688524590164,0.424397947098,0
0,11,2,0.688524590164,0.424397947098,0
0,21,4,0.688524590164,0.424397947098,0
0,8,1,0.688524590164,0.424397947098,0
0,30,6,0.688524590164,0.424397947098,0
0,21,5,0.688524590164,0.424397947098,0
0,18,3,0.688524590164,0.424397947098,0
0,9,2,0.688524590164,0.424397947098,0
0,18,4,0.688524590164,0.424397947098,0
0,8,2,0.688524590164,0.424397947098,0
1,55,5,0.361111111111,0.75,0
0,67,10,0.361111111111,0.0,2
1,82,9,0.361111111111,1.0,1
0,34,7,0.361111111111,0.5,0
0,76,13,0.361111111111,0.5,0
0,122,21,0.361111111111,0.0,1
1,55,8,0.361111111111,1.0,0
1,146,19,0.361111111111,0.424397947098,1
0,22,5,0.361111111111,0.0,0
0,114,8,0.361111111111,0.0,1
0,61,11,0.361111111111,0.424397947098,0
0,120,24,0.361111111111,0.0,0
0,44,6,0.361111111111,0.424397947098,0
0,92,14,0.361111111111,0.424397947098,0
0,96,16,0.361111111111,0.424397947098,0
1,97,13,0.361111111111,1.0,0
0,63,10,0.361111111111,0.424397947098,0
0,114,8,0.361111111111,0.0,1
0,138,27,0.361111111111,0.0,0
1,73,9,0.361111111111,1.0,0
1,75,11,0.361111111111,0.833333333333,0
0,137,18,0.361111111111,0.25,0
1,97,10,0.361111111111,1.0,0
0,130,15,0.361111111111,0.0,0
1,135,19,0.361111111111,0.61038961039,2
1,97,13,0.361111111111,0.25,0
0,126,22,0.361111111111,0.0,0
0,119,24,0.361111111111,0.0,0
1,138,16,0.361111111111,1.0,3
0,85,17,0.361111111111,0.424397947098,0
0,135,18,0.361111111111,0.0,0
0,98,15,0.361111111111,0.0,0
1,138,23,0.361111111111,1.0,0
0,80,10,0.361111111111,0.6,2
1,76,8,0.361111111111,0.75,0
0,85,19,0.361111111111,0.428571428571,0
0,140,27,0.685714285714,0.0,0
1,98,12,0.685714285714,0.777777777778,1
1,123,16,0.685714285714,1.0,3
0,129,18,0.685714285714,0.592592592593,3
0,141,14,0.685714285714,0.333333333333,2
1,139,18,0.685714285714,1.0,0
1,35,4,0.685714285714,0.5,0
1,90,15,0.685714285714,0.6,0
0,90,12,0.685714285714,0.424397947098,0
0,67,9,0.685714285714,0.0,0
1,67,9,0.685714285714,1.0,0
1,95,16,0.685714285714,0.6,0
1,91,18,0.685714285714,1.0,0
0,142,27,0.685714285714,0.424397947098,0
1,98,19,0.685714285714,1.0,0
0,80,17,0.685714285714,0.424397947098,0
1,132,14,0.685714285714,0.333333333333,2
1,79,12,0.685714285714,1.0,2
1,136,17,0.685714285714,0.424397947098,0
1,67,8,0.685714285714,1.0,0
1,144,24,0.685714285714,0.5,0
1,128,25,0.685714285714,1.0,2
1,47,6,0.685714285714,0.5,0
0,46,6,0.685714285714,0.424397947098,0
1,57,8,0.685714285714,1.0,0
1,93,12,0.685714285714,0.424397947098,0
1,79,9,0.685714285714,1.0,0
1,49,4,0.685714285714,1.0,0
1,138,26,0.685714285714,0.5,0
0,138,22,0.685714285714,0.0,0
1,136,21,0.685714285714,1.0,3
0,53,10,0.685714285714,0.0,0
1,97,22,0.685714285714,0.424397947098,0
1,124,17,0.685714285714,0.592592592593,1
